run_ts_utc,experiment_name,model,group_type,group_value,bets,wins,hit_rate,avg_odds,invested,returned,profit,roi
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,all,all,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league,italy,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,season,2025-2026,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league_season,italy|2025-2026,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,league_selector,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,all,all,758,212,27.9683,3.919,11.717875,11.407049,-0.310826,-2.6526
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,season,2025-2026,758,212,27.9683,3.919,11.717875,11.407049,-0.310826,-2.6526
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,league_selector,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,all,all,758,212,27.9683,3.919,11.717875,11.407049,-0.310826,-2.6526
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,season,2025-2026,758,212,27.9683,3.919,11.717875,11.407049,-0.310826,-2.6526
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,league_selector,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,all,all,729,201,27.572,3.9113,11.233746,10.877466,-0.35628,-3.1715
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,league,germany,155,45,29.0323,3.7534,2.410422,2.273102,-0.13732,-5.6969
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,league,spain,196,53,27.0408,3.9893,2.752422,2.860846,0.108424,3.9392
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,season,2025-2026,729,201,27.572,3.9113,11.233746,10.877466,-0.35628,-3.1715
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,league_selector,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
